Entity,Code,Year,Wind capacity (total) (GW),Wind_capacity_total_MW
Spain,ESP,2016,22.990002,22990.002
Spain,ESP,2017,23.12448,23124.48
Spain,ESP,2018,23.405056,23405.055999999997
Spain,ESP,2019,25.590076,25590.076
Spain,ESP,2020,26.819191,26819.191
Spain,ESP,2021,27.907652,27907.652
Spain,ESP,2022,30.113766,30113.766
Spain,ESP,2023,31.027765,31027.765
Sweden,SWE,2000,0.209,209.0
Sweden,SWE,2001,0.29500002,295.00001999999995
Sweden,SWE,2002,0.35700002,357.00001999999995
Sweden,SWE,2003,0.41700003,417.00003000000004
Sweden,SWE,2004,0.47500002,475.00002
Sweden,SWE,2005,0.522,522.0
Sweden,SWE,2006,0.58500004,585.00004
Sweden,SWE,2007,0.823,823.0
Sweden,SWE,2008,1.0890001,1089.0001
Sweden,SWE,2009,1.475,1475.0
Sweden,SWE,2010,2.0170002,2017.0002
Sweden,SWE,2011,2.7640002,2764.0002
Sweden,SWE,2012,3.6060002,3606.0002
Sweden,SWE,2013,4.1940002,4194.0001999999995
Sweden,SWE,2014,5.0880003,5088.0003
Sweden,SWE,2015,5.8190002,5819.0001999999995
Sweden,SWE,2016,6.4350004,6435.0004
Sweden,SWE,2017,6.6110005,6611.0005
Sweden,SWE,2018,7.3,7300.0
Sweden,SWE,2019,8.681001,8681.001
Sweden,SWE,2020,9.976001,9976.001
Sweden,SWE,2021,12.116,12116.0
Sweden,SWE,2022,14.279,14279.0
Sweden,SWE,2023,16.252,16251.999999999998
Switzerland,CHE,2000,0.003,3.0
Switzerland,CHE,2001,0.0050000004,5.0000004
Switzerland,CHE,2002,0.0050000004,5.0000004
Switzerland,CHE,2003,0.0050000004,5.0000004
Switzerland,CHE,2004,0.009000001,9.000001000000001
Switzerland,CHE,2005,0.012,12.0
Switzerland,CHE,2006,0.012,12.0
Switzerland,CHE,2007,0.012,12.0
Switzerland,CHE,2008,0.014,14.0
Switzerland,CHE,2009,0.018000001,18.000001
Switzerland,CHE,2010,0.042000003,42.000003
Switzerland,CHE,2011,0.046000004,46.000004
Switzerland,CHE,2012,0.049000002,49.000002
Switzerland,CHE,2013,0.060000002,60.000001999999995
Switzerland,CHE,2014,0.060000002,60.000001999999995
Switzerland,CHE,2015,0.060000002,60.000001999999995
Switzerland,CHE,2016,0.075,75.0
Switzerland,CHE,2017,0.075,75.0
Switzerland,CHE,2018,0.075,75.0
Switzerland,CHE,2019,0.075,75.0
Switzerland,CHE,2020,0.087000005,87.000005
Switzerland,CHE,2021,0.087000005,87.000005
Switzerland,CHE,2022,0.087000005,87.000005
Switzerland,CHE,2023,0.087000005,87.000005
